id;lang;jhi_type;name;icon
1;ENG;AMENITIES;Furnished;https://i.imgur.com/X8VSjVM.png
2;ENG;AMENITIES;Air Conditioning;https://i.imgur.com/mcYvhaq.png
3;ENG;RESTRICTIONS;No pets;https://i.imgur.com/jqdE4Oo.png
4;ENG;AMENITIES;Water included;https://i.imgur.com/02i4s5h.png
5;ENG;AMENITIES;Washer;https://i.imgur.com/AsP7iSZ.png
6;ENG;AMENITIES;Internet;https://i.imgur.com/RTOzgwu.png
7;ENG;RESTRICTIONS;All pets allowed;https://i.imgur.com/7V9A0KV.png
8;ENG;AMENITIES;Dishwasher;https://i.imgur.com/98cUKjW.png
9;ENG;AMENITIES;Pool;https://i.imgur.com/aXuJSXn.png
10;ENG;RESTRICTIONS;No smoking;https://i.imgur.com/7xXAVRr.png
11;ENG;AMENITIES;Private security;https://i.imgur.com/qQRi2s8.png
12;ENG;AMENITIES;Gymnasium;https://i.imgur.com/FxAm7NB.png
13;ENG;AMENITIES;Cable TV;https://i.imgur.com/kX0y8GO.png
14;ENG;AMENITIES;Parking;https://i.imgur.com/m0mIXOg.png
15;ENG;AMENITIES;Bus stop near;https://i.imgur.com/891nijH.png
16;ENG;AMENITIES;Electricity included;https://i.imgur.com/dgrrEn4.png
17;ENG;RESTRICTIONS;No drinking;https://i.imgur.com/yuvMEzV.png
18;ENG;AMENITIES;Closet;https://i.imgur.com/JCpsFst.png
19;ENG;RESTRICTIONS;Couples allowed;https://i.imgur.com/QbwZMPf.png
20;ENG;RESTRICTIONS;Only dogs;https://i.imgur.com/6SAXFmK.png
21;ENG;RESTRICTIONS;Only cats;https://i.imgur.com/KrXTCTD.png
